Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.416061878204346	0	12.9424320828	6.86790332092	54.0	4.0	12.9424320828	6.86790332092	20009	20009
9.80448293685913	1	14.3757183908	7.75053294801	67.0	4.0	14.3757183908	7.75053294801	20011	40020
14.517047882080078	2	16.4929925804	9.14945028901	80.0	4.0	16.4929925804	9.14945028901	20006	60026
18.882729053497314	3	18.0306306306	10.0275727331	90.0	4.0	18.0306306306	10.0275727331	20014	80040
23.149807929992676	4	20.5251282051	11.3662177981	89.0	5.0	20.5251282051	11.3662177981	20012	100052
27.83330202102661	5	23.7132701422	12.3067339567	83.0	5.0	23.7132701422	12.3067339567	20014	120066
32.233224868774414	6	25.658974359	13.0705819216	101.0	5.0	25.658974359	13.0705819216	20014	140080
36.637269020080566	7	29.4845360825	14.5672776539	98.0	6.0	29.4845360825	14.5672776539	20020	160100
40.81035089492798	8	34.129471891	17.375998256	113.0	7.0	34.129471891	17.375998256	20034	180134
44.7728910446167	9	36.7720588235	18.6874316492	116.0	7.0	36.7720588235	18.6874316492	20004	200138
49.03966188430786	10	42.6212765957	19.7618042954	115.0	8.0	42.6212765957	19.7618042954	20032	220170
53.14395594596863	11	48.3961352657	23.229116839	164.0	11.0	48.3961352657	23.229116839	20036	240206
57.10700488090515	12	56.6384180791	27.1908777862	227.0	14.0	56.6384180791	27.1908777862	20050	260256
61.238121032714844	13	60.0720720721	28.6210757448	237.0	12.0	60.0720720721	28.6210757448	20004	280260
65.3245689868927	14	71.7455197133	30.9595025047	198.0	11.0	71.7455197133	30.9595025047	20017	300277
69.56165194511414	15	73.3882783883	32.2905106606	184.0	16.0	73.3882783883	32.2905106606	20035	320312
73.739177942276	16	79.6031746032	32.1024103741	206.0	30.0	79.6031746032	32.1024103741	20060	340372
77.82930994033813	17	85.6723404255	33.0403860039	192.0	24.0	85.6723404255	33.0403860039	20133	360505
81.93803286552429	18	93.1162790698	34.8746654913	276.0	36.0	93.1162790698	34.8746654913	20020	380525
86.04662990570068	19	98.5270935961	39.3895913451	291.0	41.0	98.5270935961	39.3895913451	20001	400526
90.26900792121887	20	122.012195122	45.7321186973	342.0	40.0	122.012195122	45.7321186973	20010	420536
