Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.8968698978424072	0	8.63082231167	4.03257209225	30.0	3.0	8.63082231167	4.03257209225	15009	15009
7.832978963851929	1	10.5020979021	5.28340148608	39.0	4.0	10.5020979021	5.28340148608	15018	30027
11.226800918579102	2	12.4029727498	6.92911790167	61.0	4.0	12.4029727498	6.92911790167	15020	45047
14.508933067321777	3	14.2149621212	7.6891676313	60.0	5.0	14.2149621212	7.6891676313	15011	60058
17.734010934829712	4	14.8997020854	8.43862531048	57.0	4.0	14.8997020854	8.43862531048	15004	75062
20.733654975891113	5	17.2261768083	10.352370576	84.0	5.0	17.2261768083	10.352370576	15004	90066
24.119011878967285	6	18.7922403004	10.4134499464	67.0	5.0	18.7922403004	10.4134499464	15015	105081
27.387876987457275	7	21.7982583454	12.0681998801	99.0	5.0	21.7982583454	12.0681998801	15019	120100
30.962455987930298	8	24.1169871795	12.078168211	87.0	5.0	24.1169871795	12.078168211	15049	135149
34.13133096694946	9	26.9461400359	13.979363105	109.0	5.0	26.9461400359	13.979363105	15009	150158
37.299890995025635	10	28.5028462998	14.6437613071	86.0	6.0	28.5028462998	14.6437613071	15021	165179
40.28913187980652	11	31.8008474576	16.1272271922	112.0	7.0	31.8008474576	16.1272271922	15010	180189
43.39679408073425	12	32.9166666667	14.2652529427	95.0	7.0	32.9166666667	14.2652529427	15010	195199
46.45990705490112	13	36.0600961538	16.4597044087	109.0	10.0	36.0600961538	16.4597044087	15001	210200
49.48453998565674	14	39.5394736842	19.1253763564	133.0	10.0	39.5394736842	19.1253763564	15025	225225
52.76956605911255	15	41.8662952646	16.7762252331	101.0	11.0	41.8662952646	16.7762252331	15030	240255
55.69246292114258	16	45.3655589124	19.6692259958	152.0	13.0	45.3655589124	19.6692259958	15016	255271
58.734572887420654	17	50.0033333333	22.1856557762	178.0	13.0	50.0033333333	22.1856557762	15001	270272
61.66377091407776	18	55.0182481752	26.8457957099	248.0	14.0	55.0182481752	26.8457957099	15075	285347
64.68539810180664	19	65.7030567686	32.2998916988	239.0	17.0	65.7030567686	32.2998916988	15046	300393
67.57588410377502	20	64.9827586207	27.7690545822	171.0	17.0	64.9827586207	27.7690545822	15076	315469
