Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.370499134063721	0	7.08498583569	2.61530168498	24.0	3.0	7.08498583569	2.61530168498	15006	15006
9.591567039489746	1	7.59594936709	3.03828462554	27.0	3.0	7.59594936709	3.03828462554	15002	30008
13.576189041137695	2	8.19268558952	3.32328213387	28.0	4.0	8.19268558952	3.32328213387	15009	45017
17.444473028182983	3	8.84610849057	4.01448103363	40.0	3.0	8.84610849057	4.01448103363	15003	60020
20.63537096977234	4	10.0247160989	4.83350623958	39.0	4.0	10.0247160989	4.83350623958	15007	75027
23.83232617378235	5	10.8232323232	5.24230294827	41.0	4.0	10.8232323232	5.24230294827	15001	90028
26.889901161193848	6	12.7359932088	6.73301761625	45.0	4.0	12.7359932088	6.73301761625	15003	105031
29.90897512435913	7	14.4365384615	8.07797406166	56.0	5.0	14.4365384615	8.07797406166	15014	120045
32.90987014770508	8	16.5054945055	9.22773367147	58.0	4.0	16.5054945055	9.22773367147	15020	135065
35.82124614715576	9	20.2523616734	11.8093154044	77.0	4.0	20.2523616734	11.8093154044	15007	150072
38.709694147109985	10	22.0293685756	12.8130928718	79.0	5.0	22.0293685756	12.8130928718	15002	165074
41.53312015533447	11	24.8231404959	14.1375811246	98.0	5.0	24.8231404959	14.1375811246	15018	180092
44.33720517158508	12	28.8522072937	15.5103593616	101.0	6.0	28.8522072937	15.5103593616	15032	195124
47.15068817138672	13	31.9276595745	16.5417293357	121.0	7.0	31.9276595745	16.5417293357	15006	210130
49.95741605758667	14	35.0841121495	19.065490425	117.0	8.0	35.0841121495	19.065490425	15016	225146
52.72132396697998	15	38.7087628866	20.3149233023	140.0	9.0	38.7087628866	20.3149233023	15019	240165
55.4401969909668	16	45.6565349544	22.9181302548	241.0	13.0	45.6565349544	22.9181302548	15021	255186
58.13384199142456	17	49.4506578947	21.538159211	149.0	10.0	49.4506578947	21.538159211	15033	270219
60.838948011398315	18	55.1501831502	25.8475980343	175.0	9.0	55.1501831502	25.8475980343	15056	285275
63.57467007637024	19	62.6375	27.0596149347	159.0	16.0	62.6375	27.0596149347	15033	300308
66.25585198402405	20	66.0881057269	27.3991734244	164.0	15.0	66.0881057269	27.3991734244	15002	315310
68.95112109184265	21	72.8786407767	30.220867061	202.0	17.0	72.8786407767	30.220867061	15013	330323
71.66113305091858	22	80.0265957447	34.6920239639	202.0	24.0	80.0265957447	34.6920239639	15045	345368
74.36738014221191	23	81.7554347826	34.4988968448	258.0	36.0	81.7554347826	34.4988968448	15043	360411
77.0922441482544	24	93.7204968944	34.8991824247	202.0	35.0	93.7204968944	34.8991824247	15089	375500
79.82236504554749	25	101.459459459	36.2644898121	218.0	38.0	101.459459459	36.2644898121	15016	390516
82.56848096847534	26	105.964788732	41.2116508844	348.0	46.0	105.964788732	41.2116508844	15047	405563
85.31360411643982	27	108.223021583	36.7419629866	224.0	45.0	108.223021583	36.7419629866	15043	420606
88.07748913764954	28	129.551724138	47.1235252815	333.0	49.0	129.551724138	47.1235252815	15028	435634
90.84664607048035	29	130.782608696	53.1432490062	357.0	48.0	130.782608696	53.1432490062	15040	450674
93.619637966156	30	130.530434783	45.2222188058	266.0	47.0	130.530434783	45.2222188058	15011	465685
96.45112609863281	31	145.625	54.6768808371	325.0	65.0	145.625	54.6768808371	15145	480830
99.22689414024353	32	148.594059406	47.9306797753	343.0	45.0	148.594059406	47.9306797753	15008	495838
102.03683996200562	33	163.184782609	60.2785074806	396.0	70.0	163.184782609	60.2785074806	15013	510851
104.86988711357117	34	164.663043478	56.0175200028	342.0	57.0	164.663043478	56.0175200028	15149	526000
107.76485013961792	35	175.325581395	89.9561187418	691.0	67.0	175.325581395	89.9561187418	15078	541078
110.59331202507019	36	163.086956522	51.0514770416	310.0	77.0	163.086956522	51.0514770416	15004	556082
113.413743019104	37	178.642857143	58.6360125929	347.0	83.0	178.642857143	58.6360125929	15006	571088
116.31300497055054	38	194.346153846	81.8484883752	456.0	50.0	194.346153846	81.8484883752	15159	586247
119.19422197341919	39	186.851851852	70.6362812227	485.0	77.0	186.851851852	70.6362812227	15135	601382
122.06740403175354	40	180.321428571	62.7043631645	352.0	72.0	180.321428571	62.7043631645	15147	616529
124.94418096542358	41	181.662650602	59.3684182622	399.0	73.0	181.662650602	59.3684182622	15078	631607
127.77393198013306	42	178.821428571	60.5296386894	323.0	79.0	178.821428571	60.5296386894	15021	646628
130.65330004692078	43	197.539473684	79.1494989161	402.0	79.0	197.539473684	79.1494989161	15013	661641
133.5683331489563	44	207.753424658	73.6183756137	381.0	79.0	207.753424658	73.6183756137	15166	676807
136.58664917945862	45	221.571428571	89.4586211494	530.0	63.0	221.571428571	89.4586211494	15510	692317
