Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.560547113418579	0	7.09985802177	2.5470424891	20.0	3.0	7.09985802177	2.5470424891	15002	15002
11.841910123825073	1	7.53819095477	2.88633911924	25.0	3.0	7.53819095477	2.88633911924	15001	30003
17.893964052200317	2	8.1593257205	3.3482253717	29.0	4.0	8.1593257205	3.3482253717	15005	45008
21.99716806411743	3	8.82470588235	3.69146570228	29.0	4.0	8.82470588235	3.69146570228	15002	60010
26.204062938690186	4	9.86653517423	4.7296334291	42.0	4.0	9.86653517423	4.7296334291	15007	75017
31.01692008972168	5	10.9853587116	5.47118815567	46.0	3.0	10.9853587116	5.47118815567	15006	90023
35.136894941329956	6	12.2959016393	6.3754253801	49.0	4.0	12.2959016393	6.3754253801	15001	105024
38.5685670375824	7	14.4860173578	8.11424258574	61.0	4.0	14.4860173578	8.11424258574	15022	120046
42.1535439491272	8	16.384279476	9.36748147567	66.0	4.0	16.384279476	9.36748147567	15008	135054
45.56550693511963	9	19.8190224571	11.4931606839	93.0	4.0	19.8190224571	11.4931606839	15003	150057
48.925254106521606	10	22.9115853659	13.3688794949	96.0	6.0	22.9115853659	13.3688794949	15030	165087
52.32518696784973	11	24.9767054908	14.1103137765	85.0	4.0	24.9767054908	14.1103137765	15011	180098
55.48060894012451	12	28.3490566038	14.7865584377	99.0	6.0	28.3490566038	14.7865584377	15025	195123
58.67546606063843	13	31.733615222	17.8950685636	113.0	8.0	31.733615222	17.8950685636	15010	210133
61.95699405670166	14	35.2417840376	17.9990933682	133.0	7.0	35.2417840376	17.9990933682	15013	225146
65.06257104873657	15	40.008	20.4359797742	134.0	8.0	40.008	20.4359797742	15003	240149
68.53893399238586	16	44.7791044776	19.6272468041	148.0	10.0	44.7791044776	19.6272468041	15001	255150
72.5270140171051	17	50.3926174497	23.7010933227	153.0	10.0	50.3926174497	23.7010933227	15017	270167
78.33739805221558	18	57.8769230769	28.3543553525	175.0	12.0	57.8769230769	28.3543553525	15048	285215
82.41215705871582	19	61.6204081633	23.6773979851	132.0	10.0	61.6204081633	23.6773979851	15097	300312
87.00769591331482	20	65.519650655	29.8873548623	197.0	11.0	65.519650655	29.8873548623	15004	315316
92.55342102050781	21	73.7794117647	32.2167196826	188.0	15.0	73.7794117647	32.2167196826	15051	330367
97.55563712120056	22	79.380952381	33.8501656017	216.0	22.0	79.380952381	33.8501656017	15003	345370
102.24363207817078	23	88.9822485207	35.6620351351	205.0	27.0	88.9822485207	35.6620351351	15038	360408
107.8351058959961	24	97.1419354839	38.8632737667	309.0	38.0	97.1419354839	38.8632737667	15057	375465
