Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.2977049350738525	0	12.9045571797	6.55018367264	46.0	4.0	12.9045571797	6.55018367264	15008	15008
6.528630971908569	1	14.9720558882	7.45948588748	51.0	4.0	14.9720558882	7.45948588748	15002	30010
9.652529954910278	2	17.2110091743	8.54206901273	56.0	5.0	17.2110091743	8.54206901273	15008	45018
13.173656940460205	3	19.446313066	9.28149837851	76.0	5.0	19.446313066	9.28149837851	15032	60050
16.82696509361267	4	20.9608938547	9.48380750477	70.0	6.0	20.9608938547	9.48380750477	15008	75058
20.16103506088257	5	23.7848101266	10.5543150766	69.0	7.0	23.7848101266	10.5543150766	15032	90090
23.462584018707275	6	25.5741056218	9.85789373212	71.0	7.0	25.5741056218	9.85789373212	15012	105102
26.574805974960327	7	27.5596330275	12.20515096	90.0	8.0	27.5596330275	12.20515096	15020	120122
29.653348922729492	8	29.2417153996	10.9576561653	89.0	11.0	29.2417153996	10.9576561653	15001	135123
32.70142102241516	9	31.7923728814	12.1369002882	92.0	8.0	31.7923728814	12.1369002882	15006	150129
35.72759199142456	10	33.7550561798	12.9940609704	98.0	10.0	33.7550561798	12.9940609704	15021	165150
38.704931020736694	11	36.309178744	13.60062029	98.0	10.0	36.309178744	13.60062029	15032	180182
41.618566036224365	12	37.7185929648	14.1767807202	108.0	13.0	37.7185929648	14.1767807202	15012	195194
44.691487073898315	13	39.4461942257	14.4284047444	107.0	13.0	39.4461942257	14.4284047444	15029	210223
47.87324094772339	14	41.7111111111	14.6439175424	113.0	15.0	41.7111111111	14.6439175424	15016	225239
51.18139410018921	15	43.9096209913	16.7996423545	160.0	19.0	43.9096209913	16.7996423545	15061	240300
54.38738393783569	16	46.3796296296	16.8147408833	116.0	19.0	46.3796296296	16.8147408833	15027	255327
57.40227007865906	17	50.4697986577	18.5953220093	125.0	20.0	50.4697986577	18.5953220093	15040	270367
60.57124710083008	18	56.3520599251	19.7120570308	138.0	21.0	56.3520599251	19.7120570308	15046	285413
63.57392191886902	19	60.04	21.6001481476	142.0	24.0	60.04	21.6001481476	15010	300423
66.57693600654602	20	66.6371681416	23.3850273356	208.0	22.0	66.6371681416	23.3850273356	15060	315483
69.75683403015137	21	73.9162561576	27.8363953872	203.0	27.0	73.9162561576	27.8363953872	15005	330488
72.74682092666626	22	80.5989304813	33.5622113536	265.0	30.0	80.5989304813	33.5622113536	15072	345560
76.03258299827576	23	88.0643274854	36.5343939849	217.0	32.0	88.0643274854	36.5343939849	15059	360619
79.3735580444336	24	88.1111111111	31.0642504226	228.0	44.0	88.1111111111	31.0642504226	15067	375686
82.36179304122925	25	108.797101449	37.5779690738	234.0	48.0	108.797101449	37.5779690738	15014	390700
85.40982103347778	26	118.551181102	43.2525469026	368.0	44.0	118.551181102	43.2525469026	15056	405756
88.6303939819336	27	136.690909091	52.0841531396	337.0	54.0	136.690909091	52.0841531396	15036	420792
93.21028208732605	28	151.95	67.5064996871	419.0	52.0	151.95	67.5064996871	15195	435987
96.72320294380188	29	188.851851852	87.4961884335	521.0	56.0	188.851851852	87.4961884335	15297	451284
99.99853491783142	30	200.306666667	79.5891070157	504.0	78.0	200.306666667	79.5891070157	15023	466307
103.22386503219604	31	192.746835443	83.8501478837	575.0	53.0	192.746835443	83.8501478837	15227	481534
106.65932703018188	32	243.516129032	136.394085334	739.0	74.0	243.516129032	136.394085334	15098	496632
110.1750979423523	33	255.283333333	115.089543641	655.0	87.0	255.283333333	115.089543641	15317	511949
113.35509490966797	34	191.139240506	72.7794890735	465.0	75.0	191.139240506	72.7794890735	15100	527049
116.59078407287598	35	224.343283582	86.0949757126	558.0	92.0	224.343283582	86.0949757126	15031	542080
119.93045687675476	36	264.0	114.37672177	680.0	81.0	264.0	114.37672177	15312	557392
123.2490599155426	37	240.53968254	105.302410379	589.0	91.0	240.53968254	105.302410379	15154	572546
126.54351305961609	38	241.444444444	111.040215477	777.0	104.0	241.444444444	111.040215477	15211	587757
130.02044486999512	39	264.775862069	106.088291645	695.0	97.0	264.775862069	106.088291645	15357	603114
133.44932007789612	40	310.87755102	149.464026476	810.0	88.0	310.87755102	149.464026476	15233	618347
136.8891270160675	41	304.42	129.857166148	821.0	133.0	304.42	129.857166148	15221	633568
140.3544099330902	42	328.804347826	133.505515204	724.0	137.0	328.804347826	133.505515204	15125	648693
144.0077519416809	43	361.790697674	195.143901363	992.0	114.0	361.790697674	195.143901363	15557	664250
148.04458689689636	44	411.108108108	252.124892237	1000.0	85.0	411.108108108	252.124892237	15211	679461
152.08465600013733	45	579.769230769	297.051705897	1000.0	96.0	579.769230769	297.051705897	15074	694535
156.51695203781128	46	646.541666667	302.639221291	1000.0	156.0	646.541666667	302.639221291	15517	710052
161.20308804512024	47	726.5	289.408919571	1000.0	236.0	726.5	289.408919571	15983	726035
165.6088149547577	48	735.333333333	259.907004126	1000.0	239.0	735.333333333	259.907004126	15442	741477
170.21226596832275	49	767.7	265.583527351	1000.0	141.0	767.7	265.583527351	15354	756831
174.63947701454163	50	724.619047619	324.732193865	1000.0	169.0	724.619047619	324.732193865	15217	772048
179.25278186798096	51	906.235294118	236.214391506	1000.0	163.0	906.235294118	236.214391506	15406	787454
183.98535299301147	52	980.3125	76.2493596285	1000.0	685.0	980.3125	76.2493596285	15685	803139
188.45728397369385	53	886.0	181.113549043	1000.0	517.0	886.0	181.113549043	15062	818201
193.33692502975464	54	933.411764706	184.896810275	1000.0	345.0	933.411764706	184.896810275	15868	834069
198.11285495758057	55	921.705882353	209.408625224	1000.0	152.0	921.705882353	209.408625224	15669	849738
202.76892805099487	56	961.3125	103.000436134	1000.0	658.0	961.3125	103.000436134	15381	865119
207.46481490135193	57	903.529411765	251.467017519	1000.0	208.0	903.529411765	251.467017519	15360	880479
212.20283794403076	58	923.529411765	220.265913533	1000.0	151.0	923.529411765	220.265913533	15700	896179
216.85930490493774	59	941.1875	164.595420179	1000.0	344.0	941.1875	164.595420179	15059	911238
221.88125109672546	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	16000	927238
226.55329394340515	61	891.588235294	224.358709325	1000.0	137.0	891.588235294	224.358709325	15157	942395
231.30556201934814	62	911.0	219.516313209	1000.0	143.0	911.0	219.516313209	15487	957882
235.85137796401978	63	656.375	295.982095813	1000.0	207.0	656.375	295.982095813	15753	973635
240.40663599967957	64	766.9	249.299197752	1000.0	288.0	766.9	249.299197752	15338	988973
245.00608205795288	65	938.0	192.143501061	1000.0	221.0	938.0	192.143501061	15008	1003981
249.7730360031128	66	963.75	140.3956463	1000.0	420.0	963.75	140.3956463	15420	1019401
254.4005320072174	67	842.5	276.015549079	1000.0	174.0	842.5	276.015549079	15165	1034566
259.17353105545044	68	900.235294118	214.807582682	1000.0	287.0	900.235294118	214.807582682	15304	1049870
263.9709119796753	69	872.388888889	250.459164755	1000.0	121.0	872.388888889	250.459164755	15703	1065573
268.7043459415436	70	787.15	299.344997453	1000.0	156.0	787.15	299.344997453	15743	1081316
273.3427948951721	71	846.166666667	248.175844916	1000.0	250.0	846.166666667	248.175844916	15231	1096547
278.3461699485779	72	937.058823529	187.483793994	1000.0	250.0	937.058823529	187.483793994	15930	1112477
