Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
7.499457120895386	0	7.04862579281	2.56152549084	29.0	3.0	7.04862579281	2.56152549084	20004	20004
13.560226202011108	1	7.6085964245	2.92327693025	31.0	3.0	7.6085964245	2.92327693025	20003	40007
18.915220022201538	2	8.2278897573	3.47594123245	36.0	4.0	8.2278897573	3.47594123245	20002	60009
23.848639011383057	3	9.02797833935	4.08584912361	36.0	3.0	9.02797833935	4.08584912361	20006	80015
28.41627311706543	4	9.74707602339	4.47277515322	35.0	3.0	9.74707602339	4.47277515322	20001	100016
32.9759521484375	5	11.1993281075	5.84280068266	50.0	4.0	11.1993281075	5.84280068266	20002	120018
37.461788177490234	6	12.6498103666	6.75375041866	58.0	4.0	12.6498103666	6.75375041866	20012	140030
42.045979022979736	7	14.8640416048	8.77166685335	60.0	4.0	14.8640416048	8.77166685335	20007	160037
46.584041118621826	8	16.2475649351	9.33309868604	69.0	4.0	16.2475649351	9.33309868604	20017	180054
51.11573314666748	9	19.8247524752	11.3928925728	86.0	5.0	19.8247524752	11.3928925728	20023	200077
55.25871706008911	10	22.3021181717	12.8044692403	95.0	5.0	22.3021181717	12.8044692403	20005	220082
59.251288175582886	11	25.8232258065	14.1942642635	86.0	6.0	25.8232258065	14.1942642635	20013	240095
63.31161308288574	12	28.1800281294	15.3695662713	107.0	6.0	28.1800281294	15.3695662713	20036	260131
67.63636612892151	13	31.9664536741	17.2177510529	111.0	6.0	31.9664536741	17.2177510529	20011	280142
72.2873420715332	14	35.5470692718	18.2395498032	144.0	7.0	35.5470692718	18.2395498032	20013	300155
77.31514716148376	15	39.9521912351	20.7370586817	160.0	7.0	39.9521912351	20.7370586817	20056	320211
81.86487221717834	16	43.8815789474	21.0676440443	127.0	9.0	43.8815789474	21.0676440443	20010	340221
85.60860013961792	17	49.6377171216	23.7651404894	178.0	11.0	49.6377171216	23.7651404894	20004	360225
89.31576299667358	18	55.6138888889	24.0195135113	145.0	12.0	55.6138888889	24.0195135113	20021	380246
93.19457602500916	19	61.1646341463	26.2374888743	168.0	13.0	61.1646341463	26.2374888743	20062	400308
97.38560700416565	20	69.0068965517	30.2464581116	182.0	14.0	69.0068965517	30.2464581116	20012	420320
101.9856071472168	21	77.0807692308	32.4332037748	229.0	14.0	77.0807692308	32.4332037748	20041	440361
107.09698104858398	22	82.673553719	35.8210203504	208.0	21.0	82.673553719	35.8210203504	20007	460368
111.3280680179596	23	91.2342342342	39.4199965159	292.0	36.0	91.2342342342	39.4199965159	20254	480622
115.35082006454468	24	93.5280373832	40.7253928786	265.0	41.0	93.5280373832	40.7253928786	20015	500637
120.28367304801941	25	110.049450549	46.816602375	299.0	41.0	110.049450549	46.816602375	20029	520666
126.2065360546112	26	110.950276243	40.9974094645	246.0	42.0	110.950276243	40.9974094645	20082	540748
134.17649817466736	27	119.714285714	42.9379595154	290.0	45.0	119.714285714	42.9379595154	20112	560860
140.71395301818848	28	121.198795181	45.6285711432	285.0	45.0	121.198795181	45.6285711432	20119	580979
145.33688402175903	29	131.346405229	44.5587400025	356.0	46.0	131.346405229	44.5587400025	20096	601075
149.81046414375305	30	142.531914894	51.1648085496	406.0	53.0	142.531914894	51.1648085496	20097	621172
154.65716814994812	31	144.251798561	47.7403187708	283.0	55.0	144.251798561	47.7403187708	20051	641223
159.5835371017456	32	164.073770492	53.1396502319	368.0	59.0	164.073770492	53.1396502319	20017	661240
164.41295218467712	33	164.93442623	58.2599794737	400.0	67.0	164.93442623	58.2599794737	20122	681362
169.27293515205383	34	171.179487179	67.2553007328	363.0	50.0	171.179487179	67.2553007328	20028	701390
174.47537422180176	35	172.512820513	64.5192100704	413.0	55.0	172.512820513	64.5192100704	20184	721574
178.8099980354309	36	194.038461538	76.7248985608	412.0	44.0	194.038461538	76.7248985608	20180	741754
183.70204305648804	37	185.330275229	61.711381349	428.0	80.0	185.330275229	61.711381349	20201	761955
188.04791617393494	38	202.161616162	77.2271615837	456.0	75.0	202.161616162	77.2271615837	20014	781969
192.24536609649658	39	194.922330097	73.3050137122	431.0	73.0	194.922330097	73.3050137122	20077	802046
196.7737681865692	40	205.448979592	86.1182294159	504.0	52.0	205.448979592	86.1182294159	20134	822180
201.52260398864746	41	222.866666667	100.250264616	602.0	72.0	222.866666667	100.250264616	20058	842238
206.90782403945923	42	224.144444444	89.6357519335	486.0	69.0	224.144444444	89.6357519335	20173	862411
211.9596791267395	43	233.379310345	115.246386871	576.0	69.0	233.379310345	115.246386871	20304	882715
216.78373503684998	44	256.602564103	97.859179272	527.0	49.0	256.602564103	97.859179272	20015	902730
221.82980513572693	45	279.833333333	145.442714954	654.0	58.0	279.833333333	145.442714954	20148	922878
227.22995901107788	46	299.537313433	167.042431678	1000.0	94.0	299.537313433	167.042431678	20069	942947
232.28488516807556	47	302.791044776	157.70750721	753.0	90.0	302.791044776	157.70750721	20287	963234
237.247376203537	48	290.710144928	155.076895508	863.0	90.0	290.710144928	155.076895508	20059	983293
242.35288000106812	49	305.393939394	160.815712219	839.0	88.0	305.393939394	160.815712219	20156	1003449
247.86847519874573	50	404.2	227.070649799	1000.0	76.0	404.2	227.070649799	20210	1023659
253.1146490573883	51	334.754098361	179.290098813	1000.0	105.0	334.754098361	179.290098813	20420	1044079
259.51401710510254	52	516.1	259.812894214	1000.0	151.0	516.1	259.812894214	20644	1064723
265.8130450248718	53	416.8125	199.576912518	1000.0	194.0	416.8125	199.576912518	20007	1084730
271.8297460079193	54	557.666666667	251.597451851	1000.0	193.0	557.666666667	251.597451851	20076	1104806
278.31742119789124	55	691.233333333	296.975047586	1000.0	155.0	691.233333333	296.975047586	20737	1125543
284.78305220603943	56	699.965517241	317.068847387	1000.0	88.0	699.965517241	317.068847387	20299	1145842
291.909371137619	57	739.285714286	305.546566143	1000.0	194.0	739.285714286	305.546566143	20700	1166542
298.2462000846863	58	852.75	237.747283546	1000.0	223.0	852.75	237.747283546	20466	1187008
304.3231711387634	59	801.68	282.572570502	1000.0	183.0	801.68	282.572570502	20042	1207050
310.5680592060089	60	832.48	269.686947404	1000.0	262.0	832.48	269.686947404	20812	1227862
316.7954971790314	61	839.88	246.077925869	1000.0	203.0	839.88	246.077925869	20997	1248859
323.06251311302185	62	895.347826087	261.823141219	1000.0	67.0	895.347826087	261.823141219	20593	1269452
329.5351400375366	63	960.142857143	149.224115795	1000.0	307.0	960.142857143	149.224115795	20163	1289615
336.36402106285095	64	912.869565217	201.29284407	1000.0	234.0	912.869565217	201.29284407	20996	1310611
345.0856990814209	65	877.565217391	195.157199978	1000.0	414.0	877.565217391	195.157199978	20184	1330795
351.7600531578064	66	728.571428571	267.30926826	1000.0	233.0	728.571428571	267.30926826	20400	1351195
